feature,age_slope,age_corr,volume_corr,outcome_corr,univar_auc,p_MW_corr
T1w_WM_glcm_SumSquares,-0.12257124015868485,-0.1629641646635791,-0.11730657920123484,0.22187358764854093,0.6242283950617283,1.0
T1w_WM_glrlm_GrayLevelNonUniformity,118.75803155895785,0.28347683251614786,0.6106823589941476,0.1309856119852832,0.5482253086419753,1.0
T1w_WM_glrlm_GrayLevelNonUniformityNormalized,0.00038581358935415737,0.25464458724177563,0.13688983214354622,0.009356115141805942,0.4807098765432099,1.0
T1w_WM_glrlm_GrayLevelVariance,-0.11659987191807357,-0.16808345779437217,-0.13521769888738827,0.19514183010052394,0.6126543209876543,1.0
T1w_WM_glrlm_HighGrayLevelRunEmphasis,9.204484420754387,0.2718215865202542,0.013248440414174547,0.08019527264405094,0.5470679012345679,1.0
T1w_WM_glrlm_LongRunEmphasis,0.0030581079206576617,0.2735763127820669,0.1587561901086887,-0.04544398783162887,0.4467592592592592,1.0
T1w_WM_glrlm_LongRunHighGrayLevelEmphasis,16.241024536143883,0.254177733465697,0.08762621390443116,0.06816598174744329,0.5385802469135803,1.0
T1w_WM_glrlm_LongRunLowGrayLevelEmphasis,-2.1936496937350022e-05,-0.2432308173369571,0.08894462666409417,-0.14568807863669253,0.4417438271604939,1.0
T1w_WM_glrlm_LowGrayLevelRunEmphasis,-1.8127558722539793e-05,-0.26576858583730395,-0.03402148048105988,-0.044107399954228015,0.4155092592592593,1.0
T1w_WM_glrlm_RunEntropy,-0.003911298891551025,-0.2183265831440739,-0.10064955945719983,0.08554162415365432,0.5466820987654322,1.0
T1w_WM_glrlm_RunLengthNonUniformity,-683.7774176651219,-0.009498059582289014,0.7242587947777994,0.15103443014629592,0.5891203703703705,1.0
T1w_WM_glrlm_RunLengthNonUniformityNormalized,-0.0009288131388298972,-0.2793556405617987,-0.16476943854910284,0.04143422419942632,0.5262345679012346,1.0
T1w_WM_glrlm_RunPercentage,-0.000624446555073976,-0.2757495976017432,-0.16219692584732143,0.04544398783162887,0.5239197530864198,1.0
T1w_WM_glrlm_RunVariance,0.0012101341910510234,0.2729323765391999,0.15007395974017623,-0.044107399954228015,0.4467592592592592,1.0
T1w_WM_glrlm_ShortRunEmphasis,-0.0004569416413961798,-0.27906586925250854,-0.16560550517718184,0.03876104844462462,0.47492283950617287,1.0
T1w_WM_glrlm_ShortRunHighGrayLevelEmphasis,7.9594396246158325,0.25903945209934326,-0.015788796707183743,0.10559044231466706,0.5628858024691358,1.0
T1w_WM_glrlm_ShortRunLowGrayLevelEmphasis,-1.7195929085708176e-05,-0.25646370712787503,-0.04157823654254294,-0.025395169670616127,0.42476851851851855,1.0
T1w_WM_glszm_GrayLevelNonUniformity,-17.140609914854767,-0.16611945225362765,0.3782558363881922,0.14435149075929168,0.5814043209876544,1.0
T1w_WM_glszm_GrayLevelNonUniformityNormalized,0.0001458562626100839,0.260890768797586,0.10064955945719983,-0.005346351509603395,0.4702932098765432,1.0
T1w_WM_glszm_GrayLevelVariance,-0.0895236202011575,-0.10531577252090632,-0.014341758312431672,0.19647841797792476,0.6126543209876543,1.0
T1w_WM_glszm_HighGrayLevelZoneEmphasis,8.229521293822508,0.26488317350336177,-0.010836709756254424,0.03608787268982292,0.5204475308641975,1.0
T1w_WM_glszm_LargeAreaEmphasis,968.1689554339657,0.2423454050030149,0.19785838317576696,-0.04277081207682716,0.4486882716049383,1.0
T1w_WM_glszm_LargeAreaHighGrayLevelEmphasis,1298870.7475892322,0.2689077750212808,0.19416039616695613,-0.008019527264405092,0.5030864197530864,1.0
T1w_WM_glszm_LargeAreaLowGrayLevelEmphasis,0.5620646302142015,0.19015437251864037,0.2140652131969902,-0.11227338170167131,0.43827160493827155,1.0
T1w_WM_glszm_LowGrayLevelZoneEmphasis,-1.7517202928067398e-05,-0.21700651384619643,-0.03276738053894142,-0.03207810905762037,0.45061728395061723,1.0
T1w_WM_glszm_SizeZoneNonUniformity,-222.23893438258324,-0.2446635754773363,0.20049520869509296,-0.028068345425417827,0.5189043209876543,1.0
T1w_WM_glszm_SizeZoneNonUniformityNormalized,0.00023601715017475085,-0.07416535677221268,-0.0651488841726156,-0.5907718418111753,0.8406635802469137,0.0009322354704022917
